Date,Open,High,Low,Close,Volume
2023-05-09,173.05,173.54,171.6,171.77,45326874
2023-05-10,173.02,174.03,171.9,173.555,53724501
2023-05-11,173.85,174.59,172.17,173.75,49514676
2023-05-12,173.62,174.06,171.0,172.57,45533138
2023-05-15,173.16,173.21,171.47,172.07,37266659
2023-05-16,171.99,173.1383,171.7991,172.07,42110293
2023-05-17,171.71,172.925,170.4201,172.69,57951604
2023-05-18,173.0,175.24,172.58,175.05,65496657
2023-05-19,176.39,176.39,174.94,175.16,55809475
2023-05-22,173.98,174.71,173.45,174.2,43570932
2023-05-23,173.13,173.3794,171.275,171.56,50747263
2023-05-24,171.09,172.4183,170.52,171.84,45143488
2023-05-25,172.41,173.895,171.69,172.99,56058258
2023-05-26,173.32,175.77,173.11,175.43,54834975
2023-05-30,176.96,178.99,176.57,177.3,55964401
2023-05-31,177.325,179.35,176.76,177.25,99313268
2023-06-01,177.7,180.12,176.9306,180.09,68901809
2023-06-02,181.03,181.78,179.26,180.95,61996913
2023-06-05,182.63,184.951,178.035,179.58,121946497
2023-06-06,179.965,180.12,177.43,179.21,64848374
2023-06-07,178.44,181.21,177.32,177.82,61944615
2023-06-08,177.895,180.84,177.46,180.57,50214881
2023-06-09,181.5,182.23,180.63,180.96,48899973
2023-06-12,181.27,183.89,180.97,183.79,54754995
2023-06-13,182.8,184.15,182.44,183.31,54929129
2023-06-14,183.37,184.39,182.02,183.95,57462882
2023-06-15,183.96,186.52,183.78,186.01,65433166
2023-06-16,186.73,186.99,184.27,184.92,101256225
2023-06-20,184.41,186.1,184.41,185.01,49799092
2023-06-21,184.9,185.41,182.5901,183.96,49515697
2023-06-22,183.74,187.045,183.67,187.0,51245327
2023-06-23,185.55,187.56,185.01,186.68,53116996
2023-06-26,186.83,188.05,185.23,185.27,48088661
2023-06-27,185.89,188.39,185.67,188.06,50730846
2023-06-28,187.93,189.9,187.6,189.25,51216801
2023-06-29,189.08,190.07,188.94,189.59,46347308
2023-06-30,191.63,194.48,191.26,193.97,85213216
